,manufacturer,name,type,retail_price,dealer_cost,mpg_city,mpg_hwy
299,Nissan,Nissan 350Z coupe 2dr,Sports Car,26910,25203,20,26
300,Nissan,Nissan 350Z Enthusiast convertible 2dr,Sports Car,34390,31845,20,26
301,Nissan,Nissan Altima S 4dr,Small/Sporty/ Compact/Large Sedan,19240,18030,21,26
302,Nissan,Nissan Altima SE 4dr,Small/Sporty/ Compact/Large Sedan,23290,21580,21,26
303,Nissan,Nissan Frontier King Cab XE V6,Pickup,19479,18253,17,20
304,Nissan,Nissan Maxima SE 4dr,Small/Sporty/ Compact/Large Sedan,27490,25182,20,28
305,Nissan,Nissan Maxima SL 4dr,Small/Sporty/ Compact/Large Sedan,29440,26966,20,28
306,Nissan,Nissan Murano SL,Wagon,28739,27300,20,25
307,Nissan,Nissan Pathfinder Armada SE,SUV,33840,30815,13,19
308,Nissan,Nissan Pathfinder SE,SUV,27339,25972,16,21
309,Nissan,Nissan Quest S,Minivan,24780,22958,19,26
310,Nissan,Nissan Quest SE,Minivan,32780,30019,18,25
311,Nissan,Nissan Sentra 1.8 4dr,Small/Sporty/ Compact/Large Sedan,12740,12205,28,35
312,Nissan,Nissan Sentra 1.8 S 4dr,Small/Sporty/ Compact/Large Sedan,14740,13747,28,35
313,Nissan,Nissan Sentra SE-R 4dr,Small/Sporty/ Compact/Large Sedan,17640,16444,23,28
314,Nissan,Nissan Titan King Cab XE,Pickup,26650,24926,14,18
315,Nissan,Nissan Xterra XE V6,SUV,20939,19512,17,20
316,Oldsmobile,Oldsmobile Alero GLS 2dr,Small/Sporty/ Compact/Large Sedan,23675,21485,20,29
317,Oldsmobile,Oldsmobile Alero GX 2dr,Small/Sporty/ Compact/Large Sedan,18825,17642,24,32
318,Oldsmobile,Oldsmobile Silhouette GL,Minivan,28790,26120,19,26
319,Pontiac,Pontiac Aztekt,SUV,21595,19810,19,26
320,Pontiac,Pontiac Bonneville GXP 4dr,Small/Sporty/ Compact/Large Sedan,35995,32997,*,*
321,Pontiac,Pontiac Grand Am GT 2dr,Small/Sporty/ Compact/Large Sedan,22450,20595,20,29
322,Pontiac,Pontiac Grand Prix GT1 4dr,Small/Sporty/ Compact/Large Sedan,22395,20545,20,30
323,Pontiac,Pontiac Grand Prix GT2 4dr,Small/Sporty/ Compact/Large Sedan,24295,22284,20,30
324,Pontiac,Pontiac GTO 2dr,Sports Car,33500,30710,*,*
325,Pontiac,Pontiac Montana,Minivan,23845,21644,19,26
326,Pontiac,Pontiac Montana EWB,Minivan,31370,28454,18,24
327,Pontiac,Pontiac Sunfire 1SA 2dr,Small/Sporty/ Compact/Large Sedan,15495,14375,24,33
328,Pontiac,Pontiac Sunfire 1SC 2dr,Small/Sporty/ Compact/Large Sedan,17735,16369,24,33
329,Pontiac,Pontiac Vibe,Wagon,17045,15973,29,36
330,Porsche,Porsche 911 Carrera 4S coupe 2dr (convert),Sports Car,84165,72206,17,24
331,Porsche,Porsche 911 Carrera convertible 2dr (coupe),Sports Car,79165,69229,18,26
332,Porsche,Porsche 911 GT2 2dr,Sports Car,192465,173560,17,24
333,Porsche,Porsche 911 Targa coupe 2dr,Sports Car,76765,67128,18,26
334,Porsche,Porsche Boxster convertible 2dr,Sports Car,43365,37886,20,29
335,Porsche,Porsche Boxster S convertible 2dr,Sports Car,52365,45766,18,26
336,Porsche,Porsche Cayenne S,SUV,56665,49865,14,18
337,Saab,Saab 9-3 Aero 4dr,Small/Sporty/ Compact/Large Sedan,33360,31562,20,28
338,Saab,Saab 9-3 Aero convertible 2dr,Small/Sporty/ Compact/Large Sedan,43175,40883,21,30
339,Saab,Saab 9-3 Arc convertible 2dr,Small/Sporty/ Compact/Large Sedan,40670,38520,21,29
340,Saab,Saab 9-3 Arc Sport 4dr,Small/Sporty/ Compact/Large Sedan,30860,29269,20,28
341,Saab,Saab 9-5 Aero,Wagon,40845,38376,19,29
342,Saab,Saab 9-5 Aero 4dr,Small/Sporty/ Compact/Large Sedan,39465,37721,21,29
343,Saab,Saab 9-5 Arc 4dr,Small/Sporty/ Compact/Large Sedan,35105,33011,21,29
344,Saturn,Saturn Ion1 4dr,Small/Sporty/ Compact/Large Sedan,10995,10319,26,35
345,Saturn,Saturn L300 2,Wagon,23560,21779,24,34
346,Saturn,Saturn L300-2 4dr,Small/Sporty/ Compact/Large Sedan,21410,19801,20,28
347,Saturn,Saturn lon2 4dr,Small/Sporty/ Compact/Large Sedan,14300,13393,26,35
348,Saturn,Saturn lon2 quad coupe 2dr,Small/Sporty/ Compact/Large Sedan,14850,13904,26,35
349,Saturn,Saturn lon3 4dr,Small/Sporty/ Compact/Large Sedan,15825,14811,26,35
350,Saturn,Saturn lon3 quad coupe 2dr,Small/Sporty/ Compact/Large Sedan,16350,15299,26,35
351,Saturn,Saturn VUE,SUV,20585,19238,21,26
352,Scion,Scion xA 4dr hatch,Small/Sporty/ Compact/Large Sedan,12965,12340,32,38
353,Scion,Scion xB,Wagon,14165,13480,31,35
354,Subaru,Subaru Baja,Pickup,24520,22304,21,28
355,Subaru,Subaru Forester X,Wagon,21445,19646,21,28
356,Subaru,Subaru Impreza 2.5 RS 4dr,Small/Sporty/ Compact/Large Sedan,19945,18399,22,28
357,Subaru,Subaru Impreza WRX 4dr,Sports Car,25045,23022,20,27
358,Subaru,Subaru Impreza WRX STi 4dr,Sports Car,31545,29130,18,24
359,Subaru,Subaru Legacy GT 4dr,Small/Sporty/ Compact/Large Sedan,25645,23336,21,28
360,Subaru,Subaru Legacy L 4dr,Small/Sporty/ Compact/Large Sedan,20445,18713,21,28
361,Subaru,Subaru Outback,Wagon,23895,21773,21,28
362,Subaru,Subaru Outback H6 4dr,Small/Sporty/ Compact/Large Sedan,29345,26660,19,26
363,Subaru,Subaru Outback H-6 VDC 4dr,Small/Sporty/ Compact/Large Sedan,31545,28603,19,26
364,Subaru,Subaru Outback Limited Sedan 4dr,Small/Sporty/ Compact/Large Sedan,27145,24687,20,27
365,Suzuki,Suzuki Aeno S 4dr,Small/Sporty/ Compact/Large Sedan,12884,12719,25,31
366,Suzuki,Suzuki Aerio LX 4dr,Small/Sporty/ Compact/Large Sedan,14500,14317,25,31
367,Suzuki,Suzuki Aerio SX,Wagon,16497,16291,24,29
368,Suzuki,Suzuki Forenza EX 4dr,Small/Sporty/ Compact/Large Sedan,15568,15378,22,30
369,Suzuki,Suzuki Forenza S 4dr,Small/Sporty/ Compact/Large Sedan,12269,12116,24,31
370,Suzuki,Suzuki Verona LX 4dr,Small/Sporty/ Compact/Large Sedan,17262,17053,20,27
371,Suzuki,Suzuki Vitara LX,SUV,17163,16949,19,22
372,Suzuki,Suzuki XL-7 EX,SUV,23699,22307,18,22
373,Toyota,Toyota 4Runner SR5 V6,SUV,27710,24801,18,21
374,Toyota,Toyota Avalon XL 4dr,Small/Sporty/ Compact/Large Sedan,26560,23693,21,29
375,Toyota,Toyota Avalon XLS 4dr,Small/Sporty/ Compact/Large Sedan,30920,27271,21,29
376,Toyota,Toyota Camry LE 4dr,Small/Sporty/ Compact/Large Sedan,19560,17558,24,33
377,Toyota,Toyota Camry LE V6 4dr,Small/Sporty/ Compact/Large Sedan,22775,20325,21,29
378,Toyota,Toyota Camry Solara SE 2dr,Small/Sporty/ Compact/Large Sedan,19635,17722,24,33
379,Toyota,Toyota Camry Solara SE V6 2dr,Small/Sporty/ Compact/Large Sedan,21965,19819,20,29
380,Toyota,Toyota Camry Solara SLE V6 2dr,Small/Sporty/ Compact/Large Sedan,26510,23908,20,29
381,Toyota,Toyota Camry XLE V6 4dr,Small/Sporty/ Compact/Large Sedan,25920,23125,21,29
382,Toyota,Toyota Celica GT-S 2dr,Sports Car,22570,20363,24,33
383,Toyota,Toyota Corolla CE 4dr,Small/Sporty/ Compact/Large Sedan,14085,13065,32,40
384,Toyota,Toyota Corolla LE 4dr,Small/Sporty/ Compact/Large Sedan,15295,13889,32,40
385,Toyota,Toyota Corolla S 4dr,Small/Sporty/ Compact/Large Sedan,15030,13650,32,40
386,Toyota,Toyota Echo 2dr auto,Small/Sporty/ Compact/Large Sedan,11560,10896,33,39
387,Toyota,Toyota Echo 2dr manual,Small/Sporty/ Compact/Large Sedan,10760,10144,35,43
388,Toyota,Toyota Echo 4dr,Small/Sporty/ Compact/Large Sedan,11290,10642,35,43
389,Toyota,Toyota Highlander V6,SUV,27930,24915,18,24
390,Toyota,Toyota Land Cruiser,SUV,54765,47986,13,17
391,Toyota,Toyota Matrix XR,Wagon,16695,15156,29,36
392,Toyota,Toyota MR2 Spyder convertible 2dr,Sports Car,25130,22787,26,32
393,Toyota,Toyota Prius 4dr (gas/electric),Small/Sporty/ Compact/Large Sedan,20510,18926,59,51
394,Toyota,Toyota RAV4,SUV,20290,18553,22,27
395,Toyota,Toyota Sequoia SR5,SUV,35695,31827,14,17
396,Toyota,Toyota Sienna CE,Minivan,23495,21198,19,27
397,Toyota,Toyota Sienna XLE Limited,Minivan,28800,25690,19,27
398,Toyota,Toyota Tacoma,Pickup,12800,11879,22,27
399,Toyota,Toyota Tundra Access Cab V6 SR5,Pickup,25935,23520,14,17
400,Toyota,Toyota Tundra Regular Cab V6,Pickup,16495,14978,16,20
401,Volkswagen,Volkswagen Golf GLS 4dr,Small/Sporty/ Compact/Large Sedan,18715,17478,24,31
402,Volkswagen,Volkswagen GTI 1.8T 2dr hatch,Small/Sporty/ Compact/Large Sedan,19825,18109,24,31
403,Volkswagen,Volkswagen Jetta GL,Wagon,19005,17427,24,30
404,Volkswagen,Volkswagen Jetta GLI VR6 4dr,Small/Sporty/ Compact/Large Sedan,23785,21686,21,30
405,Volkswagen,Volkswagen Jetta GLS TDI 4dr,Small/Sporty/ Compact/Large Sedan,21055,19638,38,46
406,Volkswagen,Volkswagen New Beetle GLS 1.8T 2dr,Small/Sporty/ Compact/Large Sedan,21055,19638,24,31
407,Volkswagen,Volkswagen New Beetle GLS convertible 2dr,Small/Sporty/ Compact/Large Sedan,23215,21689,24,30
408,Volkswagen,Volkswagen Passat GLS 1.8T,Wagon,24955,22801,22,31
409,Volkswagen,Volkswagen Passat GLS 4dr,Small/Sporty/ Compact/Large Sedan,23955,21898,22,31
410,Volkswagen,Volkswagen Passat GLX V6 4MOTION 4dr,Small/Sporty/ Compact/Large Sedan,33180,30583,19,26
411,Volkswagen,Volkswagen Passat W8,Wagon,40235,36956,18,25
412,Volkswagen,Volkswagen Passat W8 4MOTION 4dr,Small/Sporty/ Compact/Large Sedan,39235,36052,18,25
413,Volkswagen,Volkswagen Phaeton 4dr,Small/Sporty/ Compact/Large Sedan,65000,59912,*,*
414,Volkswagen,Volkswagen Phaeton W12 4dr,Small/Sporty/ Compact/Large Sedan,75000,69130,*,*
415,Volkswagen,Volkswagen Touareg V6,SUV,35515,32243,15,20
416,Volvo,Volvo C70 HPT convertible 2dr,Small/Sporty/ Compact/Large Sedan,42565,40083,20,26
417,Volvo,Volvo C70 LPT convertible 2dr,Small/Sporty/ Compact/Large Sedan,40565,38203,21,28
418,Volvo,Volvo S40 4dr,Small/Sporty/ Compact/Large Sedan,25135,23701,22,29
419,Volvo,Volvo S60 2.5 4dr,Small/Sporty/ Compact/Large Sedan,31745,29916,20,27
420,Volvo,Volvo S60 R 4dr,Small/Sporty/ Compact/Large Sedan,37560,35382,18,25
421,Volvo,Volvo S60 T5 4dr,Small/Sporty/ Compact/Large Sedan,34845,32902,20,28
422,Volvo,Volvo S80 2.5T 4dr,Small/Sporty/ Compact/Large Sedan,37885,35688,20,27
423,Volvo,Volvo S80 2.9 4dr,Small/Sporty/ Compact/Large Sedan,37730,35542,20,28
424,Volvo,Volvo S80 T6 4dr,Small/Sporty/ Compact/Large Sedan,45210,42573,19,26
425,Volvo,Volvo V40,Wagon,26135,24641,22,29
426,Volvo,Volvo XC70,Wagon,35145,33112,20,27
427,Volvo,Volvo XC90 T6,SUV,41250,38851,15,20
